# qsoName,qsoID,ra,dec,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
                  ULASJ1148+0702,                 208,    +177.0137037,      +7.0356349,   5,    +19.417944,     +0.072001,          0
                    RDJ1148+5253,                 209,    +177.0675400,     +52.8942500,   2,    +21.473020,     +0.314330,          0
                    RDJ1148+5253,                 209,    +177.0675400,     +52.8942500,   3,    +24.570415,     +4.980633,          0
                    RDJ1148+5253,                 209,    +177.0675400,     +52.8942500,   4,    +22.906454,     +1.846944,          0
                    RDJ1148+5253,                 209,    +177.0675400,     +52.8942500,   5,    +22.193125,     +1.125085,          0
                  SDSSJ1148+5251,                 210,    +177.0693757,     +52.8639986,   2,    +18.988964,     +0.036052,          0
                  SDSSJ1148+5251,                 210,    +177.0693757,     +52.8639986,   3,    +19.032104,     +0.031832,          0
                  SDSSJ1148+5251,                 210,    +177.0693757,     +52.8639986,   4,    +18.768538,     +0.041082,          0
                  SDSSJ1148+5251,                 210,    +177.0693757,     +52.8639986,   5,    +18.705275,     +0.045617,          0
                  SDSSJ1148+3020,                 211,    +177.1090253,     +30.3386968,   3,    +19.688953,     +0.070080,          0
                   VIKJ1148+0056,                 212,    +177.1382500,      +0.9450722,   2,    +22.138441,     +0.526508,          0
                   VIKJ1148+0056,                 212,    +177.1382500,      +0.9450722,   3,    +21.596302,     +0.107654,          0
                   VIKJ1148+0056,                 212,    +177.1382500,      +0.9450722,   4,    +21.859617,     +0.270294,          0
                   VIKJ1148+0056,                 212,    +177.1382500,      +0.9450722,   5,    +21.156103,     +0.083686,          0
                 SUVAWJ1149+0748,                 213,    +177.4435417,      +7.8140556,   2,    +20.371332,     +0.068278,          0
                 SUVAWJ1149+0748,                 213,    +177.4435417,      +7.8140556,   3,    +20.311089,     +0.086173,          0
                 SUVAWJ1149+0748,                 213,    +177.4435417,      +7.8140556,   4,    +20.077751,     +0.112543,          0
